phase,model,modality,protocol,acc_mean,acc_std,note
Phase 1,MultiRocket,EEG (DE),LOVO,0.2875,0.0452,"aeon convolution-based"
Phase 1,Hydra,EEG (DE),LOVO,0.2475,0.0612,"aeon convolution-based"
Phase 1,MultiRocket+Hydra,EEG (DE),LOVO,0.2781,0.0454,"aeon convolution-based"
Phase 1,Arsenal,EEG (DE),LOVO,0.2094,0.0320,"aeon convolution-based"
Phase 2,DECNN,EEG (DE),LOVO,0.3700,0.0242,"seg_len=5 + GroupNorm"
Phase 2,DECNN,Eye (33d),LOVO,0.3575,0.0448,"seg_len=5 + GroupNorm"
Phase 3,DECNN×2,EEG+Eye (fused),LOVO,0.4163,0.0392,"late-fusion, w_eeg=0.40"
Phase 2,DECNN,EEG (DE),LOSO,0.2913,0.0182,"seg_len=5 + GroupNorm"
Phase 2,DECNN,Eye (33d),LOSO,0.4069,0.0128,"seg_len=5 + GroupNorm"
Phase 3,DECNN×2,EEG+Eye (fused),LOSO,0.4263,0.0218,"late-fusion, w_eeg=0.20"
Phase 2,DECNN,EEG (DE),RANDOM,0.3356,0.0125,"seg_len=5 + GroupNorm"
Phase 2,DECNN,Eye (33d),RANDOM,0.4219,0.0282,"seg_len=5 + GroupNorm"
Phase 3,DECNN×2,EEG+Eye (fused),RANDOM,0.4512,0.0244,"late-fusion, w_eeg=0.30"
diagnostic,1-NN on T,clip length T,T-only LOSO,0.6750,,"upper-bound leakage estimate (from diag_length_leak.py)"
